15.15_I-5_f4470	m54334Ue_220826_033832.hifi_reads.bam
15.6-2_f4028	m64310e_220821_020012.hifi_reads.bam
15.C-12_f4575	m54334Ue_220827_143713.hifi_reads.bam
15.N-21_f5177	m64310e_220916_064323.hifi_reads.bam
15.P-13_f4814	m54334Ue_220818_063238.hifi_reads.bam
15.P-19_f4984	m54334Ue_220819_173007.hifi_reads.bam
8_15.1_7545	m54334Ue_220912_172043.hifi_reads.bam
GHs_6_7174	m54334Ue_220914_041823.hifi_reads.bam
M_15.2_7501	m64310e_220919_043444.hifi_reads.bam
M_5.1_7316	m64310e_220917_173901.hifi_reads.bam
Sp_21.1_7514	m64310e_221002_140607.hifi_reads.bam
UCD003	m54334Ue_220909_192704.hifi_reads.bam
UCD312	m54334Ue_220911_062308.hifi_reads.bam
